id,Restaurants,Category,Neighborhood,Price,Opening_Time,Closing_Time,Average_Rating,Good_for_kids
392,Zontrax,Russian,Manhattan,Medium,10:52,0:55,4,False
393,Cardguard,Vegan,East Village,Medium,9:05,0:30,5,True
394,Bytecard,Russian,Harlem,Medium,8:16,1:35,3,False
395,Home Ing,Italian,Manhattan,Expensive,11:25,1:25,5,False
396,Konklux,Vegan,Harlem,Cheap,12:08,0:08,1,True
397,Veribet,Japanese,Manhattan,Cheap,9:59,1:31,3,False
398,Matsoft,Fast Food,Lower East Side,Expensive,10:18,0:48,1,True
399,Konklux,Chinese,Harlem,Cheap,9:37,0:37,2,False
400,Zaam-Dox,Chinese,Harlem,Cheap,10:44,1:03,4,False
401,Sonair,Vegan,Bronx,Medium,8:34,1:54,5,True
402,Flexidy,Kazakh,Brooklyn,Cheap,9:32,0:36,1,True
403,Treeflex,Indian,Hell's Kitchen,Medium,10:33,1:41,4,False
404,Alphazap,Mexican,Harlem,Cheap,8:01,0:53,2,True
405,Zontrax,Fast Food,East Village,Expensive,11:09,1:27,5,True
406,Sub-Ex,Mexican,East Village,Medium,11:57,1:42,4,False
407,Cookley,Italian,Bronx,Cheap,10:12,0:27,3,False
408,Cardify,Russian,Hell's Kitchen,Cheap,8:46,0:41,2,False
409,It,Japanese,Manhattan,Cheap,11:19,0:54,2,False
410,Viva,Chinese,East Village,Cheap,9:35,0:03,4,False
411,Keylex,Japanese,Harlem,Medium,11:34,0:07,5,True
412,Alpha,Fast Food,Manhattan,Cheap,11:08,0:55,3,True
413,Domainer,Kazakh,Brooklyn,Expensive,11:52,0:53,4,True
414,Daltfresh,Mexican,Lower East Side,Medium,9:13,0:24,3,True
415,Tresom,Italian,Manhattan,Cheap,9:18,0:43,3,False
416,Opela,Mexican,Bronx,Cheap,9:29,0:25,5,True
417,Zoolab,Korean,Bronx,Medium,10:51,0:16,3,False
418,Biodex,Mexican,Brooklyn,Medium,9:04,1:26,2,False
419,Vagram,Indian,East Village,Medium,12:39,0:21,1,False
420,Home Ing,Russian,Bronx,Medium,8:42,1:06,2,True
421,Home Ing,Chinese,Harlem,Expensive,9:26,1:28,5,False
422,Ventosanzap,Italian,Harlem,Cheap,12:37,0:10,1,True
423,Zoolab,Italian,Manhattan,Expensive,10:55,0:09,3,True
424,Asoka,Vegan,Bronx,Medium,9:02,0:31,2,False
425,Job,Korean,Brooklyn,Medium,9:07,1:56,3,False
426,Tampflex,Mexican,Brooklyn,Expensive,9:40,0:56,2,True
427,Andalax,Vegan,Manhattan,Cheap,8:53,1:47,1,True
428,Bitwolf,Russian,Brooklyn,Medium,12:39,0:16,2,False
429,Home Ing,Korean,East Village,Medium,8:42,0:29,1,False
430,Tempsoft,Japanese,Lower East Side,Expensive,11:44,1:13,1,True
431,Quo Lux,Indian,East Village,Medium,8:31,0:52,4,False
432,Ventosanzap,Fast Food,Lower East Side,Cheap,10:20,1:32,1,True
433,Veribet,Fast Food,Lower East Side,Cheap,10:49,1:06,1,True
434,Asoka,Mexican,Harlem,Expensive,8:17,0:06,5,False
435,Solarbreeze,Indian,East Village,Cheap,10:30,1:14,3,False
436,Transcof,Indian,Brooklyn,Medium,9:21,0:39,4,False
437,Fix San,Russian,Bronx,Medium,10:17,1:42,4,True
438,Zoolab,Chinese,Lower East Side,Expensive,11:30,0:24,4,False
439,Greenlam,Mexican,Bronx,Cheap,8:05,1:52,5,False
440,Flowdesk,Japanese,Brooklyn,Cheap,9:12,1:14,2,False
441,Zamit,Japanese,East Village,Expensive,8:03,0:52,3,False
442,Duobam,Mexican,Harlem,Medium,8:11,0:29,4,True
443,Zaam-Dox,Fast Food,East Village,Cheap,10:53,0:46,1,True
444,Andalax,Japanese,Hell's Kitchen,Expensive,9:47,1:21,1,True
445,Holdlamis,Korean,Lower East Side,Cheap,12:15,1:58,2,True
446,Stronghold,Japanese,Brooklyn,Medium,11:09,1:10,2,False
447,Span,Vegan,Brooklyn,Expensive,11:36,1:17,1,True
448,Latlux,Kazakh,Bronx,Cheap,8:22,0:06,5,True
449,Voyatouch,Japanese,Brooklyn,Expensive,12:03,1:39,2,False
450,Bamity,Vegan,East Village,Cheap,12:42,1:37,1,False
451,Zaam-Dox,Korean,Manhattan,Cheap,12:17,1:44,1,False
452,Redhold,Japanese,Lower East Side,Medium,8:30,1:48,2,False
453,Subin,Indian,Lower East Side,Cheap,10:42,1:25,3,True
454,Holdlamis,Kazakh,Harlem,Cheap,12:46,1:51,1,False
455,Lotlux,Italian,Manhattan,Expensive,8:04,0:24,1,False
456,Konklab,Japanese,Brooklyn,Expensive,10:13,1:32,3,True
457,Vagram,Italian,Bronx,Expensive,9:09,0:47,2,True
458,Stronghold,Kazakh,Manhattan,Expensive,10:18,1:33,1,True
459,Y-Solowarm,Russian,Hell's Kitchen,Cheap,10:03,1:58,3,False
460,Duobam,Indian,Brooklyn,Cheap,9:04,0:23,4,False
461,Y-Solowarm,Fast Food,Lower East Side,Expensive,10:53,0:51,5,True
462,Cardguard,Korean,East Village,Medium,8:43,1:51,2,True
463,Tresom,Vegan,Harlem,Expensive,8:55,0:08,4,True
464,Voyatouch,Mexican,Lower East Side,Medium,12:54,0:35,3,False
465,Alphazap,Mexican,Manhattan,Medium,11:11,1:59,5,True
466,Stronghold,Korean,Bronx,Cheap,10:37,1:17,5,False
467,Ventosanzap,Italian,Bronx,Cheap,9:54,0:27,1,False
468,Y-Solowarm,Chinese,Brooklyn,Cheap,8:24,1:18,2,False
469,Redhold,Russian,Brooklyn,Expensive,11:54,0:11,2,True
470,Sonsing,Japanese,East Village,Cheap,11:52,1:47,5,True
471,Daltfresh,Chinese,Lower East Side,Expensive,11:27,0:45,2,False
472,Biodex,Fast Food,Harlem,Expensive,9:12,1:36,3,False
473,Lotlux,Japanese,Hell's Kitchen,Cheap,8:02,0:39,2,True
474,Sonair,Fast Food,Bronx,Medium,10:12,0:30,4,False
475,Viva,Korean,Lower East Side,Expensive,8:14,0:40,4,True
476,Zathin,Kazakh,Bronx,Cheap,9:07,1:45,3,True
477,Voltsillam,Mexican,Manhattan,Medium,8:02,1:18,5,True
478,Fintone,Chinese,Lower East Side,Cheap,11:22,0:18,4,False
479,Alphazap,Mexican,Harlem,Cheap,8:39,1:58,4,False
480,Prodder,Fast Food,Bronx,Medium,8:35,0:20,3,False
481,Sonsing,Indian,Manhattan,Expensive,11:44,1:56,2,True
482,Otcom,Korean,Lower East Side,Cheap,11:55,0:19,3,True
483,Vagram,Indian,Manhattan,Medium,12:25,0:35,3,False
484,Sub-Ex,Mexican,Hell's Kitchen,Expensive,10:31,1:06,1,True
485,Zoolab,Indian,Bronx,Medium,8:42,1:07,1,False
486,Tresom,Mexican,Manhattan,Expensive,11:46,1:51,1,True
487,Regrant,Indian,Manhattan,Cheap,12:51,0:29,5,False
488,Cardify,Japanese,East Village,Medium,10:23,1:38,2,True
489,Voyatouch,Italian,Manhattan,Cheap,11:32,0:10,4,True
490,Lotlux,Korean,Brooklyn,Expensive,10:52,1:16,4,False
491,Overhold,Vegan,East Village,Cheap,11:49,0:17,3,False
492,Transcof,Italian,Lower East Side,Medium,12:25,0:04,4,True
493,Asoka,Fast Food,Harlem,Medium,10:01,0:20,4,True
494,Temp,Russian,Brooklyn,Expensive,11:07,0:35,1,True
495,Kanlam,Kazakh,Brooklyn,Medium,8:51,1:41,4,False
496,Tresom,Mexican,Manhattan,Cheap,11:13,1:30,4,True
497,Zontrax,Chinese,Harlem,Medium,9:07,0:12,3,True
498,Solarbreeze,Indian,East Village,Cheap,10:37,0:51,1,False
499,Prodder,Japanese,Harlem,Medium,9:03,0:29,1,True
500,Tin,Korean,Hell's Kitchen,Cheap,8:38,1:06,5,True
501,Span,Fast Food,Brooklyn,Cheap,9:32,1:01,3,False
502,Veribet,Italian,Hell's Kitchen,Expensive,8:54,1:50,4,False
503,Cardguard,Fast Food,Bronx,Medium,8:13,1:18,5,False
504,Otcom,Mexican,Brooklyn,Medium,10:09,1:59,1,True
505,Rank,Korean,Hell's Kitchen,Medium,9:03,0:47,4,False
506,Zoolab,Italian,Brooklyn,Medium,8:35,0:14,1,False
507,Konklab,Japanese,Hell's Kitchen,Expensive,11:42,1:04,4,False
508,Otcom,Vegan,Brooklyn,Expensive,11:42,1:28,4,True
509,Biodex,Italian,Brooklyn,Cheap,10:22,1:00,2,True
510,Sonsing,Vegan,East Village,Medium,8:59,0:08,3,False
511,Sonsing,Indian,Hell's Kitchen,Expensive,11:20,0:01,3,False
512,Prodder,Italian,Harlem,Medium,10:51,0:29,3,True
513,Stronghold,Russian,Harlem,Expensive,9:41,0:51,2,False
514,Solarbreeze,Indian,Harlem,Medium,12:48,1:07,2,True
515,Matsoft,Fast Food,Bronx,Medium,12:19,0:04,1,False
516,Fixflex,Kazakh,Lower East Side,Medium,8:53,1:13,1,False
517,Y-Solowarm,Korean,Hell's Kitchen,Cheap,9:07,0:00,3,False
518,Redhold,Fast Food,Bronx,Cheap,11:22,0:03,3,False
519,Stim,Mexican,Brooklyn,Expensive,9:39,1:21,1,False
520,Alphazap,Korean,Brooklyn,Expensive,10:23,1:00,2,True
521,Zamit,Italian,Brooklyn,Medium,10:03,0:24,4,True
522,Alpha,Korean,Bronx,Medium,12:59,1:42,3,True
523,Matsoft,Kazakh,East Village,Cheap,8:09,1:34,2,True
524,Vagram,Mexican,Bronx,Medium,9:57,0:54,2,True
525,Zontrax,Indian,Harlem,Cheap,9:36,0:49,5,True
526,Ronstring,Korean,Lower East Side,Expensive,10:53,1:18,4,False
527,Holdlamis,Fast Food,East Village,Medium,11:33,1:53,1,False
528,Tres-Zap,Kazakh,Lower East Side,Expensive,11:28,0:10,2,False
529,Aerified,Chinese,Bronx,Cheap,12:14,0:03,1,True
530,Stronghold,Russian,Manhattan,Expensive,12:37,1:11,2,True
531,Gembucket,Indian,Lower East Side,Cheap,8:19,0:16,3,True
532,Stringtough,Russian,Manhattan,Medium,9:18,0:15,1,True
533,Veribet,Fast Food,Hell's Kitchen,Medium,10:38,0:51,4,False
534,Y-Solowarm,Chinese,Hell's Kitchen,Medium,11:10,1:10,1,False
535,Konklux,Chinese,Bronx,Cheap,11:52,0:05,2,False
536,Fixflex,Indian,Lower East Side,Expensive,8:32,0:53,1,True
537,Regrant,Korean,Manhattan,Expensive,9:50,1:04,4,False
538,Redhold,Mexican,Lower East Side,Expensive,10:33,1:58,3,True
539,Quo Lux,Italian,East Village,Medium,9:32,0:21,5,True
540,Alpha,Indian,East Village,Cheap,10:20,1:18,3,False
541,Konklux,Japanese,East Village,Cheap,10:20,1:11,4,True
542,Domainer,Italian,East Village,Cheap,11:05,1:41,1,True
543,Sonsing,Japanese,Brooklyn,Cheap,12:33,1:46,4,True
544,Cookley,Vegan,Harlem,Expensive,12:14,1:56,3,False
545,Fintone,Korean,East Village,Cheap,12:48,1:38,2,False
546,Zoolab,Vegan,East Village,Medium,9:41,0:27,4,False
547,Sub-Ex,Russian,Bronx,Medium,12:35,0:00,3,False
548,Otcom,Chinese,Bronx,Cheap,8:15,1:28,4,False
549,Ronstring,Mexican,Brooklyn,Expensive,12:04,0:54,3,False
550,Alpha,Indian,Hell's Kitchen,Medium,10:27,0:31,5,True
551,Tresom,Kazakh,Hell's Kitchen,Cheap,10:43,1:34,2,False
552,Namfix,Japanese,Manhattan,Cheap,8:30,0:46,3,True
553,Latlux,Japanese,Harlem,Expensive,9:41,1:07,2,False
554,Ventosanzap,Russian,Harlem,Cheap,9:35,0:53,3,True
555,Solarbreeze,Italian,Hell's Kitchen,Cheap,12:58,0:58,4,True
556,Vagram,Italian,Hell's Kitchen,Medium,9:59,1:05,3,False
557,It,Vegan,Bronx,Medium,11:19,1:04,4,False
558,Trippledex,Kazakh,Lower East Side,Expensive,9:35,1:52,1,True
559,Regrant,Chinese,Harlem,Expensive,8:50,0:54,3,False
560,Viva,Russian,Hell's Kitchen,Cheap,12:32,1:00,2,False
561,It,Kazakh,Manhattan,Expensive,9:31,0:47,3,False
562,Treeflex,Kazakh,Lower East Side,Medium,12:44,0:23,3,False
563,Voltsillam,Korean,East Village,Medium,9:13,1:15,3,False
564,Konklux,Kazakh,Bronx,Cheap,11:53,0:23,5,False
565,Veribet,Chinese,Manhattan,Cheap,8:22,1:45,4,False
566,Bigtax,Japanese,Brooklyn,Cheap,11:15,1:27,1,True
567,Tres-Zap,Korean,Brooklyn,Expensive,12:44,0:32,4,False
568,Flowdesk,Kazakh,Hell's Kitchen,Cheap,10:15,0:49,5,True
569,Stim,Japanese,East Village,Medium,9:01,1:45,4,False
570,Konklux,Indian,Brooklyn,Expensive,11:53,1:08,1,True
571,Flexidy,Italian,Harlem,Cheap,12:54,1:46,2,False
572,It,Fast Food,East Village,Cheap,9:29,0:57,5,False
573,Wrapsafe,Kazakh,Harlem,Expensive,11:53,1:23,5,False
574,It,Mexican,Harlem,Expensive,9:53,1:47,3,False
575,Konklux,Italian,East Village,Expensive,9:18,1:59,2,True
576,Sonsing,Italian,Manhattan,Expensive,9:33,1:10,1,True
577,Cardify,Mexican,East Village,Expensive,9:31,0:12,3,False
578,Flexidy,Mexican,Hell's Kitchen,Medium,10:15,0:43,4,True
579,Home Ing,Korean,Harlem,Medium,9:05,0:58,5,False
580,Y-Solowarm,Korean,East Village,Expensive,10:39,1:44,3,False
581,Cardify,Kazakh,Lower East Side,Cheap,11:06,1:48,2,True
582,Fixflex,Vegan,Bronx,Medium,12:21,0:12,5,False
583,Span,Fast Food,Manhattan,Medium,8:07,0:05,2,True
584,Daltfresh,Korean,Bronx,Expensive,9:32,0:24,2,True
585,Latlux,Chinese,Brooklyn,Cheap,10:19,0:21,4,False
586,Voyatouch,Italian,Bronx,Cheap,11:24,0:08,5,False
587,Tres-Zap,Fast Food,Bronx,Medium,9:28,1:05,2,False
588,Zoolab,Italian,Harlem,Medium,12:39,0:10,3,True
589,Flowdesk,Indian,Bronx,Expensive,8:06,0:28,1,True
590,Bitwolf,Korean,Manhattan,Expensive,8:29,1:09,5,False
591,Konklab,Vegan,Bronx,Cheap,8:07,0:13,4,False
592,Regrant,Indian,Manhattan,Medium,10:05,0:55,3,False
593,Temp,Italian,Lower East Side,Expensive,8:37,1:14,1,False
594,Tres-Zap,Chinese,Brooklyn,Cheap,12:11,0:22,1,True
595,Tempsoft,Vegan,Manhattan,Expensive,11:12,1:28,2,False
596,Stringtough,Japanese,Lower East Side,Cheap,9:19,0:19,2,False
597,Overhold,Chinese,Brooklyn,Expensive,10:08,1:34,2,True
598,Bytecard,Japanese,Harlem,Medium,8:55,1:15,1,True
599,Cardguard,Mexican,Lower East Side,Medium,11:14,1:50,5,False
600,Ronstring,Japanese,Harlem,Cheap,12:43,1:18,2,False
601,Fixflex,Fast Food,Manhattan,Medium,8:09,0:16,1,True
602,Hatity,Kazakh,Lower East Side,Medium,11:06,0:09,3,False
603,Vagram,Mexican,East Village,Cheap,8:50,1:46,3,True
604,Lotlux,Vegan,Lower East Side,Cheap,12:37,0:44,2,False
605,Toughjoyfax,Japanese,Lower East Side,Cheap,11:55,1:49,1,False
606,Tres-Zap,Russian,Brooklyn,Cheap,9:14,1:10,5,False
607,Toughjoyfax,Italian,Bronx,Expensive,9:36,1:45,4,True
608,Cardguard,Fast Food,Bronx,Expensive,11:48,1:18,2,True
609,Flowdesk,Russian,Lower East Side,Cheap,11:08,1:54,2,True
610,Rank,Kazakh,East Village,Cheap,12:01,1:57,2,True
611,Lotstring,Chinese,East Village,Expensive,10:42,0:33,4,False
612,Alpha,Russian,Hell's Kitchen,Expensive,9:24,0:32,3,False
613,Zathin,Indian,East Village,Medium,12:24,0:01,4,False
614,Wrapsafe,Indian,Harlem,Expensive,8:30,0:49,4,True
615,Gembucket,Kazakh,Bronx,Cheap,12:03,0:54,3,False
616,Y-find,Fast Food,Lower East Side,Expensive,10:07,0:37,3,False
617,Alpha,Korean,Brooklyn,Cheap,12:32,1:00,1,True
618,Span,Fast Food,Hell's Kitchen,Expensive,11:33,1:29,3,False
619,Tin,Indian,Harlem,Medium,9:03,0:18,4,True
620,Cookley,Mexican,East Village,Medium,9:40,0:55,3,False
621,Viva,Italian,Brooklyn,Expensive,12:02,1:27,2,False
622,Mat Lam Tam,Chinese,Bronx,Expensive,8:52,1:07,2,True
623,Biodex,Indian,Hell's Kitchen,Medium,8:10,1:13,1,True
624,Zontrax,Russian,Hell's Kitchen,Medium,10:14,0:18,2,False
625,Wrapsafe,Korean,East Village,Expensive,12:57,1:16,3,True
626,Pannier,Chinese,Hell's Kitchen,Expensive,9:52,0:44,1,True
627,Fixflex,Mexican,Hell's Kitchen,Cheap,12:43,0:30,5,False
628,Transcof,Mexican,Harlem,Medium,10:52,1:47,4,True
629,Voyatouch,Vegan,Brooklyn,Medium,10:04,1:24,2,False
630,Bitchip,Korean,Brooklyn,Cheap,8:25,0:50,3,True
631,Zaam-Dox,Fast Food,Brooklyn,Medium,11:39,1:08,5,True
632,Fix San,Fast Food,Manhattan,Cheap,12:26,0:55,5,True
633,Ventosanzap,Russian,Brooklyn,Expensive,10:30,1:10,3,True
634,Bitchip,Korean,Hell's Kitchen,Expensive,12:32,0:15,1,True
635,Bamity,Russian,East Village,Medium,12:21,0:00,5,False
636,Veribet,Russian,Hell's Kitchen,Medium,12:51,0:08,5,True
637,Cookley,Kazakh,East Village,Medium,9:30,1:45,2,True
638,Daltfresh,Indian,East Village,Cheap,10:29,0:16,2,False
639,Pannier,Mexican,Harlem,Medium,8:21,0:56,2,True
640,Zathin,Chinese,East Village,Medium,8:18,1:28,1,True
641,Home Ing,Korean,East Village,Cheap,8:05,1:21,2,True
642,Opela,Kazakh,Brooklyn,Cheap,12:14,0:44,1,False
643,Viva,Vegan,Brooklyn,Medium,12:45,1:45,3,False
644,Namfix,Mexican,Lower East Side,Expensive,8:22,0:40,5,True
645,Asoka,Korean,Hell's Kitchen,Medium,10:44,0:16,5,False
646,Prodder,Italian,Brooklyn,Medium,8:39,0:06,1,False
647,Transcof,Vegan,East Village,Medium,12:58,0:15,1,False
648,Tempsoft,Fast Food,Hell's Kitchen,Cheap,9:01,0:43,5,False
649,Latlux,Russian,Brooklyn,Medium,11:37,1:19,5,False
650,Hatity,Russian,Brooklyn,Expensive,11:50,1:03,1,False
651,Latlux,Kazakh,Hell's Kitchen,Expensive,10:19,0:28,1,True
652,Andalax,Russian,Harlem,Cheap,12:39,0:02,2,True
653,Asoka,Chinese,Hell's Kitchen,Cheap,11:03,1:41,5,False
654,Pannier,Chinese,Bronx,Expensive,8:47,0:28,2,False
655,Mat Lam Tam,Fast Food,Lower East Side,Medium,10:20,1:51,5,True
656,It,Fast Food,Harlem,Expensive,10:35,1:14,1,True
657,Cardify,Indian,Brooklyn,Cheap,8:25,0:27,5,True
658,Bitchip,Fast Food,Manhattan,Medium,11:43,0:19,3,True
659,Redhold,Chinese,Hell's Kitchen,Expensive,8:07,1:47,5,False
660,Bigtax,Russian,Bronx,Medium,12:27,1:38,1,True
661,Y-Solowarm,Fast Food,Lower East Side,Cheap,10:09,0:18,5,False
662,Prodder,Korean,Manhattan,Cheap,9:01,1:28,1,False
663,Holdlamis,Japanese,Manhattan,Medium,12:14,0:10,5,True
664,Pannier,Indian,Harlem,Medium,9:58,0:21,4,True
665,Cookley,Kazakh,East Village,Cheap,10:44,1:50,3,True
666,Sonsing,Italian,Bronx,Cheap,9:06,1:04,5,False
667,Cardify,Kazakh,East Village,Cheap,8:25,0:10,3,True
668,Zontrax,Japanese,East Village,Expensive,11:19,0:09,5,False
669,Tampflex,Fast Food,Hell's Kitchen,Medium,10:14,0:53,4,True
670,Bitchip,Chinese,Manhattan,Cheap,10:12,0:15,5,True
671,Sub-Ex,Italian,Hell's Kitchen,Cheap,10:21,0:20,1,False
672,Matsoft,Fast Food,East Village,Cheap,11:41,1:51,2,False
673,Bitchip,Chinese,Brooklyn,Expensive,10:21,1:41,2,False
674,Hatity,Vegan,Brooklyn,Medium,10:39,0:10,2,False
675,Flowdesk,Indian,Harlem,Medium,9:07,1:05,3,False
676,Flexidy,Chinese,East Village,Medium,10:26,1:08,1,True
677,Y-find,Vegan,Bronx,Expensive,8:08,0:53,4,False
678,Trippledex,Kazakh,Lower East Side,Medium,12:44,1:54,3,True
679,Viva,Fast Food,Lower East Side,Cheap,11:41,1:45,3,True
680,Greenlam,Mexican,Brooklyn,Expensive,11:19,1:12,1,True
681,Daltfresh,Italian,Hell's Kitchen,Expensive,9:18,1:28,2,True
682,Bigtax,Indian,Hell's Kitchen,Medium,9:19,1:20,3,True
683,Sonsing,Japanese,Hell's Kitchen,Medium,9:35,1:15,5,True
684,Overhold,Kazakh,Hell's Kitchen,Cheap,11:45,0:24,5,True
685,Viva,Kazakh,Brooklyn,Expensive,11:08,0:56,3,True
686,Rank,Italian,Lower East Side,Cheap,8:47,1:06,5,True
687,Viva,Fast Food,Harlem,Expensive,8:22,0:42,3,False
688,Flowdesk,Fast Food,Hell's Kitchen,Cheap,8:12,0:08,2,False
689,Tres-Zap,Japanese,Harlem,Expensive,12:42,1:00,4,False
690,Bytecard,Japanese,Manhattan,Expensive,11:59,1:20,1,False
691,Zontrax,Korean,Hell's Kitchen,Medium,12:20,1:36,3,True
692,Mat Lam Tam,Vegan,Lower East Side,Medium,9:14,0:53,1,False
693,Tres-Zap,Indian,East Village,Medium,10:30,1:16,3,False
694,Duobam,Chinese,Bronx,Cheap,10:49,0:48,5,False
695,Matsoft,Italian,Lower East Side,Expensive,11:52,1:21,5,False
696,Zamit,Chinese,East Village,Medium,9:05,0:05,2,False
697,Konklux,Vegan,Harlem,Medium,8:17,0:23,4,True
698,Solarbreeze,Chinese,Bronx,Medium,10:38,0:42,3,False
699,Konklux,Indian,Brooklyn,Medium,9:37,0:04,3,True
700,Tampflex,Chinese,Bronx,Medium,10:43,1:48,4,True
701,Mat Lam Tam,Mexican,Harlem,Expensive,12:29,1:50,3,False
702,Vagram,Fast Food,Manhattan,Medium,10:16,0:46,1,True
703,Aerified,Japanese,Manhattan,Cheap,11:20,1:55,4,True
704,Sub-Ex,Italian,Manhattan,Expensive,8:49,1:12,2,True
705,Tempsoft,Indian,Lower East Side,Expensive,12:28,0:21,1,True
706,Tres-Zap,Chinese,Hell's Kitchen,Expensive,8:11,1:39,2,True
707,Bigtax,Vegan,Manhattan,Medium,8:21,1:32,2,True
708,Trippledex,Korean,Harlem,Cheap,11:50,1:02,1,False
709,Tampflex,Russian,Manhattan,Medium,11:07,1:18,3,False
710,Keylex,Vegan,Brooklyn,Medium,11:00,1:00,5,False
711,Viva,Kazakh,Lower East Side,Medium,10:37,0:01,5,True
712,Job,Vegan,Hell's Kitchen,Medium,8:59,1:54,1,True
713,Zoolab,Kazakh,Bronx,Medium,8:12,0:06,5,False
714,Holdlamis,Chinese,Bronx,Cheap,12:15,1:30,3,False
715,Bitchip,Japanese,Harlem,Expensive,11:37,0:34,4,False
716,Zamit,Russian,Lower East Side,Medium,9:15,0:53,4,True
717,Subin,Kazakh,Harlem,Cheap,11:10,1:49,4,True
718,Bitwolf,Korean,Brooklyn,Cheap,9:11,0:32,4,False
719,Tin,Italian,Hell's Kitchen,Expensive,11:19,1:04,2,True
720,Duobam,Japanese,Hell's Kitchen,Expensive,10:00,1:58,4,True
721,Latlux,Mexican,Harlem,Medium,11:09,1:11,4,True
722,Hatity,Vegan,Harlem,Expensive,11:21,0:58,2,True
723,Tampflex,Fast Food,Harlem,Expensive,10:06,0:14,2,True
724,Voyatouch,Korean,Bronx,Expensive,12:59,0:08,4,False
725,Alpha,Italian,Hell's Kitchen,Expensive,11:57,0:32,2,False
726,Zoolab,Vegan,Harlem,Cheap,11:24,0:51,3,False
727,Bigtax,Mexican,Harlem,Cheap,10:48,0:54,1,False
728,Vagram,Chinese,Harlem,Medium,9:28,0:48,2,True
729,Cardguard,Chinese,Bronx,Medium,8:02,0:41,4,True
730,Gembucket,Indian,East Village,Medium,8:27,1:14,2,False
731,Sub-Ex,Italian,East Village,Expensive,11:25,0:18,1,True
732,Tres-Zap,Chinese,Manhattan,Medium,10:39,0:46,5,False
733,Regrant,Italian,Brooklyn,Cheap,9:30,0:58,2,True
734,Transcof,Japanese,Manhattan,Medium,11:09,0:33,3,False
735,Temp,Japanese,Bronx,Cheap,12:56,0:53,2,True
736,Asoka,Japanese,Bronx,Cheap,12:46,1:04,2,False
737,Regrant,Russian,Brooklyn,Expensive,12:40,1:20,2,False
738,Bamity,Indian,East Village,Medium,10:04,1:19,2,True
739,Greenlam,Russian,Lower East Side,Medium,9:12,1:20,1,True
740,Greenlam,Vegan,Hell's Kitchen,Expensive,9:55,1:59,5,False
741,Fix San,Korean,Bronx,Expensive,8:06,0:08,2,True
742,Tin,Fast Food,Bronx,Medium,9:11,0:09,5,False
743,Mat Lam Tam,Russian,Brooklyn,Expensive,12:40,0:17,3,False
744,Bigtax,Mexican,Manhattan,Cheap,12:23,1:31,3,True
745,Bytecard,Korean,Hell's Kitchen,Medium,12:00,1:04,3,False
746,Redhold,Mexican,Hell's Kitchen,Medium,8:13,1:33,2,True
747,Veribet,Vegan,Hell's Kitchen,Medium,10:54,0:08,4,False
748,Sub-Ex,Vegan,Bronx,Medium,11:56,0:59,3,False
749,Biodex,Russian,Bronx,Medium,11:31,1:20,3,False
750,Vagram,Fast Food,Manhattan,Cheap,8:56,0:57,5,False
751,Namfix,Korean,Harlem,Cheap,12:29,0:54,4,True
752,Fixflex,Korean,Bronx,Expensive,8:23,0:11,4,False
753,Ventosanzap,Italian,Harlem,Cheap,12:09,1:34,2,False
754,Redhold,Japanese,Brooklyn,Medium,9:07,1:32,2,True
755,Fintone,Mexican,Harlem,Medium,9:41,0:47,4,False
756,Andalax,Chinese,Brooklyn,Cheap,9:21,0:20,1,False
757,Subin,Fast Food,Manhattan,Cheap,12:25,1:58,1,False
758,Otcom,Fast Food,Hell's Kitchen,Cheap,11:01,1:33,1,False
759,Alphazap,Russian,Lower East Side,Medium,9:06,1:47,3,True
760,Flowdesk,Italian,Hell's Kitchen,Expensive,9:38,1:41,2,True
761,It,Vegan,East Village,Expensive,8:19,0:06,3,True
762,Holdlamis,Japanese,Lower East Side,Expensive,9:42,0:40,3,False
763,Holdlamis,Chinese,Manhattan,Medium,12:27,0:50,5,False
764,Mat Lam Tam,Italian,Bronx,Expensive,10:21,0:37,2,True
765,Subin,Russian,Harlem,Expensive,12:52,0:37,5,False
766,Holdlamis,Vegan,Hell's Kitchen,Cheap,12:44,0:10,1,False
767,Kanlam,Japanese,Brooklyn,Expensive,8:33,0:25,4,True
768,Bitwolf,Vegan,Brooklyn,Medium,8:38,0:16,3,False
769,Tresom,Korean,Harlem,Medium,10:11,0:20,4,True
770,Lotstring,Fast Food,Brooklyn,Cheap,10:29,0:36,5,False
771,Matsoft,Korean,Harlem,Expensive,9:49,1:31,5,False
772,Quo Lux,Italian,Lower East Side,Cheap,9:07,1:42,3,False
773,Mat Lam Tam,Vegan,East Village,Cheap,8:12,1:10,4,False
774,Stringtough,Korean,East Village,Expensive,9:10,0:14,2,True
775,Cardify,Italian,Hell's Kitchen,Cheap,11:53,0:42,3,False
776,Subin,Kazakh,East Village,Cheap,11:01,1:10,5,True
777,Tres-Zap,Japanese,Brooklyn,Medium,11:11,1:09,5,False
778,Overhold,Vegan,Manhattan,Medium,8:37,0:50,3,True
779,Fintone,Fast Food,Bronx,Medium,11:32,1:42,1,True
780,Konklab,Italian,Hell's Kitchen,Expensive,9:27,1:06,1,True
781,Otcom,Chinese,East Village,Expensive,12:26,0:11,4,False
782,Daltfresh,Japanese,Lower East Side,Expensive,11:07,1:08,5,False
783,Home Ing,Korean,Manhattan,Expensive,8:03,1:53,1,False
784,Otcom,Korean,Hell's Kitchen,Medium,10:07,1:39,4,True
